,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
159,Alhambra,34.09370000000007,-118.12726999999995,Alondra Hot Wings,34.09260606247441,-118.13261169448025,Wings Joint
160,Alhambra,34.09370000000007,-118.12726999999995,Spanglish Kitchen,34.09842885076056,-118.13459010634155,Mexican Restaurant
161,Alhambra,34.09370000000007,-118.12726999999995,Tea Station,34.09240566440972,-118.13272005941815,Tea Room
162,Alhambra,34.09370000000007,-118.12726999999995,Toros Japanese Fusion Seafood,34.09247374316344,-118.13249344756169,Sushi Restaurant
163,Alhambra,34.09370000000007,-118.12726999999995,The UPS Store,34.09207336939796,-118.13269793987274,Shipping Store
164,Alhambra,34.09370000000007,-118.12726999999995,Simply The Best,34.0986474297818,-118.13458054765111,Liquor Store
165,Alhambra,34.09370000000007,-118.12726999999995,Smart & Final Extra!,34.099206119381634,-118.11957823589582,Grocery Store
166,Alhambra,34.09370000000007,-118.12726999999995,7-Eleven,34.0914269864071,-118.119614124298,Convenience Store
167,Alhambra,34.09370000000007,-118.12726999999995,Ten Ren's Tea Time,34.09909963091318,-118.11995980098509,Tea Room
168,Alhambra,34.09370000000007,-118.12726999999995,New Century BMW,34.092113916073764,-118.13501557535278,Auto Dealership
169,Alhambra,34.09370000000007,-118.12726999999995,Vans,34.090553,-118.12333400000001,Shoe Store
170,Alhambra,34.09370000000007,-118.12726999999995,Little Caesars Pizza,34.09910636143853,-118.11986985668923,Pizza Place
171,Alhambra,34.09370000000007,-118.12726999999995,Enterprise Rent-A-Car,34.091348353909325,-118.13726480305598,Rental Car Location
172,Alhambra,34.09370000000007,-118.12726999999995,Redbox,34.091407000000004,-118.11959099999999,Video Store
173,Alhambra,34.09370000000007,-118.12726999999995,Super Store,34.098634375593285,-118.13444439949824,Liquor Store
174,Alhambra,34.09370000000007,-118.12726999999995,Wells Fargo,34.0990810880648,-118.12014251947397,Bank
175,Alhambra,34.09370000000007,-118.12726999999995,Chase Bank,34.098589,-118.118287,Bank
176,Alhambra,34.09370000000007,-118.12726999999995,Burger King,34.09773956020525,-118.12065750360489,Fast Food Restaurant
177,Alhambra,34.09370000000007,-118.12726999999995,LA Fitness,34.09708743588524,-118.1223447674925,Gym
178,Alhambra,34.09370000000007,-118.12726999999995,Toyzilla,34.09461975097656,-118.12347412109375,Toy / Game Store
179,Alhambra,34.09370000000007,-118.12726999999995,Crazy Sushi,34.094285661845646,-118.12324883254993,Sushi Restaurant
180,Alhambra,34.09370000000007,-118.12726999999995,Half & Half Boba Express,34.09774780228518,-118.12348688113154,Bubble Tea Shop
181,Alhambra,34.09370000000007,-118.12726999999995,Tastea,34.09834239951419,-118.12333157539655,Bubble Tea Shop
182,Alhambra,34.09370000000007,-118.12726999999995,MPO Eyecare Optometry,34.09834573449817,-118.12323568891782,Optical Shop
183,Alhambra,34.09370000000007,-118.12726999999995,Feeldz,34.09823803,-118.122947,Shoe Store
184,Alhambra,34.09370000000007,-118.12726999999995,El Ranchero,34.08971155472471,-118.12339537772917,Taco Place
185,Alhambra,34.09370000000007,-118.12726999999995,Ideal Tastes Corporation,34.08668,-118.12256,Grocery Store
186,Alhambra,34.09370000000007,-118.12726999999995,Lindaraxa Park,34.100629,-118.121052,Park
187,Alondra Park,33.88930000000005,-118.33060999999998,Chicken Maison,33.88676829671174,-118.3261327705702,Mediterranean Restaurant
188,Alondra Park,33.88930000000005,-118.33060999999998,La Villa Mexican Restaurant,33.89141469982318,-118.32671774883771,Mexican Restaurant
189,Alondra Park,33.88930000000005,-118.33060999999998,Geoffrey's Comics,33.88645873776341,-118.32613361260171,Bookstore
190,Alondra Park,33.88930000000005,-118.33060999999998,Bonello's New York Pizza,33.88509958072988,-118.3262704941599,Pizza Place
191,Alondra Park,33.88930000000005,-118.33060999999998,beauty mantra,33.88229498777064,-118.32605174273144,Cosmetics Shop
192,Alondra Park,33.88930000000005,-118.33060999999998,Ho'olaulea Alondra Park,33.88573302888851,-118.33551346543001,Park
193,Alondra Park,33.88930000000005,-118.33060999999998,Desert Nights Hookah Lounge II,33.888450454928496,-118.32725331033097,Hookah Bar
194,Alondra Park,33.88930000000005,-118.33060999999998,Chicken Chick,33.88278191156064,-118.3260153442087,Mediterranean Restaurant
195,Alondra Park,33.88930000000005,-118.33060999999998,GameStop,33.88653844592048,-118.32622092332844,Video Game Store
196,Alondra Park,33.88930000000005,-118.33060999999998,ExEat by Eatalian Cafe,33.89686717267479,-118.32637775982091,Italian Restaurant
197,Alondra Park,33.88930000000005,-118.33060999999998,Gardena Cinema,33.896047591013954,-118.32626125898445,Movie Theater
198,Alondra Park,33.88930000000005,-118.33060999999998,Starbucks,33.88942261527628,-118.32247026082388,Coffee Shop
199,Alondra Park,33.88930000000005,-118.33060999999998,Wasabi Sushiya,33.884904,-118.32614099999999,Sushi Restaurant
200,Alondra Park,33.88930000000005,-118.33060999999998,Golden Bowl,33.887629114970245,-118.32624392394408,Fast Food Restaurant
201,Alondra Park,33.88930000000005,-118.33060999999998,The Pancake Factory,33.888589944917484,-118.32680288259964,Breakfast Spot
202,Alondra Park,33.88930000000005,-118.33060999999998,Domino's Pizza,33.886571999999994,-118.326025,Pizza Place
203,Alondra Park,33.88930000000005,-118.33060999999998,El Camino College Marsee Auditorium,33.88279787438804,-118.32894790620526,Concert Hall
204,Alondra Park,33.88930000000005,-118.33060999999998,Starbucks,33.88167,-118.32611,Coffee Shop
205,Alondra Park,33.88930000000005,-118.33060999999998,Classic Burger Cafe,33.88936135635326,-118.32253719222108,Burger Joint
206,Alondra Park,33.88930000000005,-118.33060999999998,Ramona's Mexican Delicatessan,33.882568923739676,-118.32604177988856,Mexican Restaurant
207,Alondra Park,33.88930000000005,-118.33060999999998,Pho Hong Long,33.888134683285806,-118.32681988232713,Asian Restaurant
208,Alondra Park,33.88930000000005,-118.33060999999998,Tilly's Tacos - Gardena,33.887814278644385,-118.32723524886636,Mexican Restaurant
209,Alondra Park,33.88930000000005,-118.33060999999998,SUBWAY,33.88656612610761,-118.32605188553862,Sandwich Place
210,Alondra Park,33.88930000000005,-118.33060999999998,McDonald's,33.887091,-118.326219,Fast Food Restaurant
211,Alondra Park,33.88930000000005,-118.33060999999998,Del Taco,33.88319328853326,-118.32626757346779,Fast Food Restaurant
212,Alondra Park,33.88930000000005,-118.33060999999998,Superior Grocers,33.895224773561345,-118.32602999629941,Market
213,Alondra Park,33.88930000000005,-118.33060999999998,Tri-Park Little League,33.89002990722656,-118.33812713623047,Baseball Field
214,Alondra Park,33.88930000000005,-118.33060999999998,Mapo Korean BBQ,33.896265847847694,-118.32675478525513,Korean Restaurant
215,Alondra Park,33.88930000000005,-118.33060999999998,UPS Gardena,33.88440437373002,-118.3222931198723,Paper / Office Supplies Store
216,Alondra Park,33.88930000000005,-118.33060999999998,Boiling Point,33.88294228045505,-118.32644391076697,Chinese Restaurant
217,Alondra Park,33.88930000000005,-118.33060999999998,Bodger Park,33.89606771017156,-118.334828556941,Park
218,Alondra Park,33.88930000000005,-118.33060999999998,Taco Bell,33.88147679464534,-118.32618496641793,Fast Food Restaurant
219,Alondra Park,33.88930000000005,-118.33060999999998,Jin Kook Korean Restaurant,33.882424,-118.32593,Food
220,Alondra Park,33.88930000000005,-118.33060999999998,Aunty Maile’s,33.882248,-118.325987,Hawaiian Restaurant
221,Alondra Park,33.88930000000005,-118.33060999999998,The Oven,33.88208555679277,-118.32610143851309,Pizza Place
222,Alondra Park,33.88930000000005,-118.33060999999998,Pastor Chef,33.88208437898758,-118.32602723610012,Restaurant
223,Alondra Park,33.88930000000005,-118.33060999999998,Alondra Park Baseball Field #3,33.887229919433594,-118.34036254882812,Baseball Field
224,Alondra Park,33.88930000000005,-118.33060999999998,Alondra Park Lake,33.88122936521658,-118.33457708358765,Lake
225,Alondra Park,33.88930000000005,-118.33060999999998,Hank's Pizza & Deli Torrance,33.88125228881836,-118.32612609863281,Italian Restaurant
226,Altadena,34.185560000000066,-118.13151999999997,Cafe De Leche,34.188430429417004,-118.1315784695921,Coffee Shop
227,Altadena,34.185560000000066,-118.13151999999997,Everest,34.18564048314839,-118.13143606752827,Burger Joint
228,Altadena,34.185560000000066,-118.13151999999997,Fox's,34.18624332407911,-118.13131546121278,Diner
229,Altadena,34.185560000000066,-118.13151999999997,Altadena Hardware,34.1882086201265,-118.1322524256067,Hardware Store
230,Altadena,34.185560000000066,-118.13151999999997,Christmas Tree Lane,34.1893520735662,-118.13638865947722,Scenic Lookout
231,Altadena,34.185560000000066,-118.13151999999997,Amy's Patio Cafe,34.19001914469964,-118.13113390522486,Breakfast Spot
